province,city,district,street,community,full_address,lat,lng
福建省,漳州市,芗城区,,福海阳光,福建省漳州市芗城区福海阳光,24.52096,117.674088
福建省,漳州市,南靖县,,农科所,福建省漳州市南靖县丰田镇农科所,24.601681,117.447372
福建省,漳州市,云霄县,,,福建省漳州市云霄县火田镇圆峰村,24.06427,117.366737
福建省,漳州市,云霄县,,福锦中心广场,福建省漳州市云霄县莆美镇福锦中心广场,23.93391,117.33654
福建省,漳州市,诏安县,,,福建省漳州市诏安县红星乡楼仔村,23.87608,117.093842
福建省,福州市,连江县,,宏宙花园,福建省福州市连江县敖江镇长汀村宏宙花园,26.19665,119.543777
福建省,福州市,连江县,,,福建省福州市连江县官坂镇北营村,26.34691,119.670029
福建省,福州市,连江县,,,福建省福州市连江县潘渡,26.23292,119.45576
福建省,福州市,连江县,,,福建省福州市连江县透堡镇龙头村,26.34955,119.660393
福建省,福州市,连江县,,,福建省福州市连江县马鼻镇东湾村,26.376419,119.635048
福建省,福州市,连江县,,,福建省福州市连江县马鼻镇墙兜村,26.371309,119.660141
福建省,福州市,长乐区,,,福建省福州市长乐区漳港街道仙岐村,25.915541,119.645233
福建省,福州市,长乐区,,,福建省福州市长乐区漳港街道龙峰村,25.928499,119.630707
福建省,福州市,长乐区,航辉社区,,福建省福州市长乐区航城街道航辉社区,25.957411,119.505234
福建省,福州市,仓山区,,江南水都名筑,福建省福州市仓山区江南水都名筑,26.044538,119.279671
福建省,福州市,鼓楼区,,武夷春晓,福建省福州市鼓楼区洪山镇武夷春晓,26.087931,119.278748
福建省,福州市,鼓楼区,华大街道融侨路41号,,福建省福州市鼓楼区华大街道融侨路41号,26.11265,119.30709
福建省,宁德市,古田县,,,福建省宁德市古田县城西街道长岭村,26.53031,118.73912
福建省,宁德市,古田县,,,福建省宁德市古田县大洋坑村,26.541981,118.733963
福建省,宁德市,古田县,城西街道,康馨楼,福建省宁德市城西街道康馨楼,26.56883,118.723915
福建省,三明市,尤溪县,,,福建省三明市尤溪县管前镇建设村,26.144739,117.901787
福建省,三明市,将乐县,新将北路,,福建省三明市将乐县古镛镇新将北路,26.7316,117.473022
福建省,三明市,三元区,,,福建省三明市三元区莘口镇蓬坑村,26.126471,117.600983
福建省,三明市,沙县,凤岗街道,鸿图花园,福建省三明市沙县凤岗街道鸿图花园,26.395041,117.785217
福建省,三明市,沙县,凤岗街道,龙湖天成,福建省三明市沙县凤岗街道龙湖天成,26.413589,117.776833
福建省,三明市,沙县,,,福建省三明市沙县夏茂镇,26.57164,117.669502
